titulo,contenido,categoria
"Applications, Risks and Countermeasures of Artificial Intelligence in Education","The application of artificial intelligence in education has greatly affected school management, teachers' teaching and students' learning, and has an important influence on the mechanism and mechanism of learning process. The concept of artificial intelligence is to simulate human intelligence by machine, thus completing specific roles and tasks, and has the characteristics of convenience, intelligence and interaction. It is mainly applied to computer vision, natural language processing, biometric recognition, speech recognition, human-computer interaction and other technologies in the field of education, which brings space for the development of architecture, medicine and chemistry. However, AI also brings about the risk of decisionmaking mistakes, career substitution, privacy leakage, information cocoon house and data bias. In order to avoid these risks effectively, this paper puts forward solutions from five perspectives: the state, product developers, educational managers, teachers and students, so as to correctly understand the relationship between artificial intelligence and education, explore the application mode of artificial intelligence in the field of education, and ensure the deep integration of artificial intelligence and education.",Training;Technological innovation;Education;Speech recognition;Learning (artificial intelligence);Resists;Natural language processing;Artificial intelligence;Educational application;Educational risk
Patient Attitude on the Application of Artificial Intelligence in Diabetes Care,"The integration of artificial intelligence (AI) into diabetes care holds the potential to transform patient management and improve outcomes, especially in Malaysia, where diabetes represents a major public health challenge. However, the adoption and effectiveness of AI in healthcare are significantly impacted by patient attitudes. This paper addresses the gap in understanding these attitudes. The primary goal of this study is to investigate the perspectives of diabetic patients on the use of AI applications and tools in diabetes care. This study also examined the patterns of acceptance and understanding of AI among diabetic patients. This study used qualitative methods using in-depth interviews with seventeen Malaysian diabetic patients in Hospital Tengku Ampuan Rahimah Klang (HTAR), Malaysia. The interview lasted two weeks, from August 8, 2023, to August 22, 2023. All interviews were audio-recorded and transcribed word-for-word. The transcribed content was then organized and coded using ATLAS.ti version 8. Thematic analysis was performed in accordance with established guidelines for data analysis. Three key themes emerged from participant interviews regarding the patients' attitudes toward AI application in diabetes care. These themes were perceived acceptability, perceived benefits of using AI tools, and perceived need. The majority of participants expressed their positive view of using AI tools. The findings of this study lay the groundwork for a theoretical framework aimed at understanding patients' stances on AI applications in diabetic care, emphasizing the health, technological, and social experiences that influence their perspectives on AI in this context.",Data analysis;Hospitals;Education;Transforms;Diabetes;Artificial intelligence;Interviews;Public healthcare;Guidelines;artificial intelligence;diabetic patients;attitudes;diabetes care;qualitative analysis
Analysis of the Impact of Artificial Intelligence on Electricity Consumption,"The in-depth development and widespread application of artificial intelligence technology will have significant impact on electricity demand. However, there are few comprehensive analyses. This article will analyze the direct and indirect impact respectively. For direct impact, artificial intelligence requires various data centers to provide huge computing and storage capabilities, which will increase the electricity demand of data centers; for indirect impact, artificial intelligence will also optimize the time and space distribution of electricity demand and deepen energy conservation and power saving in the whole society. Research shows that the development of artificial intelligence will increase the electricity consumption of data centers, and it is necessary to plan ahead for the infrastructure related to the electricity consumption of artificial intelligence; artificial intelligence plays an important role in promoting the development of demand response, and a largescale joint dispatch mechanism of electricity and computing power for the power market should be explored; data centers have a large space for energy conservation and carbon reduction, and a sound electricity price mechanism that comprehensively considers green electricity consumption and energy efficiency should be established to promote data centers to widely participate in green electricity transactions and actively reduce their own PUE.",Data centers;Electricity;Computational modeling;Energy conservation;Demand response;Power markets;Energy efficiency;Artificial intelligence;Carbon;Uninterruptible power systems;artificial intelligence;electricity demand;demand response;energy efficiency
Research on Artificial Intelligence Algorithm and Its Application in Games,"With the in-depth development of intelligent technology, game artificial intelligence (AI) has become the technical core of improving the playability of a game and the main selling point of game promotion, deepening the game experience realm. Modern computer games achieve the realism of games by integrating graphics, physics and artificial intelligence. It is difficult to define the meaning of realistic game experience, but generally speaking, it usually refers to the immersion of the game and the intelligence of non-player characters in the game. As the technical core of improving game playability and the selling point of many commercial games, game artificial intelligence gives players a way to interact with non-player characters in the game, and promotes the realm of game experience to a higher level. Based on this, this paper analyzes the history and present situation of artificial intelligence in game development, and puts forward the possible changes and impacts of artificial intelligence technology based on machine learning on game development in the future.",Graphics;Machine learning algorithms;Neural networks;Games;Machine learning;Learning (artificial intelligence);Tools;Artificial intelligence;Game experience;Machine learning
Artificial Intelligence Surpassing Human Intelligence: Factual or Hoax,"Artificial intelligence is one of the most trending topics in the field of Computer Science which aims to make machines and computers ‘smart’. There are multiple diverse technical and specialized research associated with it. Due to the accelerating rate of technological changes, artificial intelligence has taken over a lot of human jobs and is giving excellent results that are more efficient and effective, than humans. However, a lot of time there has been a concern about the following: will artificial intelligence surpass human intelligence in the near future? Are computers' ever accelerating abilities to outpace human jobs and skills a matter of concern? The different views and myths on the subject have made it even a more than just a topic of discussion. In this research paper, we will study the existing facts and literature to understand the true definitions of artificial intelligence (AI) and human intelligence (HI) by classifying each of its types separately and analyzing the extent of their full capabilities. Later, we will discuss the possibilities if AI eventually can replace human jobs in the market. Finally, we will synthesize and summarize results and findings of why artificial intelligence cannot surpass human intelligence completely in the future.",artificial intelligence;human intelligence;robotics;autonomous machines;computer science;artificial neural network;human brain
Decoding Justice: The Synergy of Artificial Intelligence and Machine Learning in the Legal Landscape,"The rapid integration of Artificial Intelligence (AI), Machine Learning (ML), and Internet of Things (IoT) technologies holds significant promise for enhancing human-centric applications, particularly in the domain of law enforcement. This paper explores the application of AI and ML in crime prevention and resource allocation, pivotal areas of concern for law enforcement agencies (LEAs) globally. By utilizing historical crime data, sensory inputs, and advanced analytics, this study contributes to the evolving discourse on smart policing and proactive crime strategies. Our objective is to facilitate the transformation of LEAs from primarily reactive entities into proactive crime preventers through the adoption of predictive analytics, facial recognition enhanced surveillance, and natural language processing for efficient data analysis. We emphasize that collaborative efforts with AI experts ensure the responsible use of technology, meticulously balancing security imperatives with privacy concerns.",Symbiosis;Technological innovation;Privacy;Law enforcement;Surveillance;Machine learning;Internet of Things;Security;Resource management;Artificial intelligence;Artificial intelligence;machine learning;law enforcement;smart policing;privacy
Application of artificial intelligence in computer network technology in the era of big data,"Today, with the progress of computer network technology, the advantages of artificial intelligence gradually began to show and become a new product under the development of the current era. At present, the strength of artificial intelligence technology lies in its data analysis and processing ability, because with the continuous development and progress of the society, the difficulty of processing data and information is becoming more and more complex for many years, and the processing ability of computers has begun to show shortcomings. The use of artificial intelligence can solve this problem well, and it can also put forward solutions according to the corresponding data problems, to timely deal with all kinds of data information. This paper mainly analyzes the application of artificial intelligence in computer network in the era of big data, and discusses the application and significance of artificial intelligence in big data.",Seminars;Data analysis;Big Data;Computer networks;Artificial intelligence;Information technology;Big data;artificial intelligence;computer network technology
Study on the Application Fields and Development Prospects of Artificial Intelligence,"Since the world entered the Internet age, various industries have developed rapidly, as has the industry of artificial intelligence. Moreover, there is a wide range of application areas in artificial intelligence, including industry, computer, education, and intelligent robots. With the rapid development of science and technology, it is believed that the artificial intelligence may develop towards the ""artificial intelligence +"" era and strong artificial intelligence, which will be comprehensively analyzed in terms of definition, development, and application areas. Especially the analysis of intellectual property rights is of reference significance to the intellectual property planning of domestic enterprises.",Industries;Education;Intellectual property;Production;Planning;Internet;Artificial intelligence;Artificial intelligence (AI);application field;future development
The Role of Artificial Intelligence (AI) in Transforming Biomedical Imaging: A Comprehensive Overview,"The integration of Artificial Intelligence (AI) in biomedical imaging heralds a transformative era in medical diagnostics and research. This comprehensive overview explores the multifaceted impact of AI on various imaging modalities, emphasizing its potential to revolutionize disease detection, characterization, and treatment planning. AI applications, particularly machine learning and deep learning, enhance the analysis of intricate imaging data, providing quicker and more accurate insights. This review delves into AI's role in automating diagnosis through the development of sophisticated algorithms, enabling faster and more precise identification of diseases across diverse medical imaging platforms. Furthermore, AI contributes to improving image quality, facilitating early detection of abnormalities, and enhancing decision support systems for clinicians. Beyond diagnosis, AI facilitates personalized medicine by tailoring treatment strategies based on individual patient data extracted from imaging. The ethical considerations and privacy implications of handling sensitive medical information are also discussed, ensuring a balanced perspective on the adoption of AI in healthcare. As AI continues to advance, this overview concludes with insights into future trends, challenges, and the collaborative synergy between technology, healthcare practitioners, and researchers, underscoring the ongoing evolution of biomedical imaging through artificial intelligence.",Privacy;Machine learning algorithms;Accuracy;Reviews;Precision medicine;Planning;Medical diagnosis;Artificial intelligence;Medical diagnostic imaging;Diseases;Artificial Intelligence;Biomedical Imaging;Deep Learning;Personalized Medicine;Medical Research
Block Design-Based Key Agreement for Group Data Sharing in Cloud Computing,"Data sharing in cloud computing enables multiple participants to freely share the group data, which improves the efficiency of work in cooperative environments and has widespread potential applications. However, how to ensure the security of data sharing within a group and how to efficiently share the outsourced data in a group manner are formidable challenges. Note that key agreement protocols have played a very important role in secure and efficient group data sharing in cloud computing. In this paper, by taking advantage of the symmetric balanced incomplete block design (SBIBD), we present a novel block design-based key agreement protocol that supports multiple participants, which can flexibly extend the number of participants in a cloud environment according to the structure of the block design. Based on the proposed group data sharing model, we present general formulas for generating the common conference key $\mathcal {K}$K for multiple participants. Note that by benefiting from the $(v,k + 1,1)$(v,k+1,1)-block design, the computational complexity of the proposed protocol linearly increases with the number of participants and the communication complexity is greatly reduced. In addition, the fault tolerance property of our protocol enables the group data sharing in cloud computing to withstand different key attacks, which is similar to Yi's protocol.",Protocols;Cloud computing;Fault tolerance;Fault tolerant systems;Data models;Cryptography;Key agreement protocol;symmetric balanced incomplete block design (SBIBD);data sharing;cloud computing
Research for current cloud computing and cloud security technology,"This paper introduces the concept, development, key features, applications of cloud computing. The difference to grid computing is discussed. Eight kinds of typical open source cloud computing projects are described, the security reference models of cloud services are given. Cloud computing security challenges and countermeasures are discussed in this paper.",Google;Cloud computing;Security;ISO;Clouds;Computational modeling;Reservoirs;cloud computing;cloud security;open source;security model
One Quantifiable Security Evaluation Model for Cloud Computing Platform,"Whatever one public cloud, private cloud or a mixed cloud, the users lack of effective security quantifiable evaluation methods to grasp the security situation of its own information infrastructure on the whole. This paper provides a quantifiable security evaluation system for different clouds that can be accessed by consistent API. The evaluation system includes security scanning engine, security recovery engine, security quantifiable evaluation model, visual display module and etc. The security evaluation model composes of a set of evaluation elements corresponding different fields, such as computing, storage, network, maintenance, application security and etc. Each element is assigned a three tuple on vulnerabilities, score and repair method. The system adopts “One vote vetoed” mechanism for one field to count its score and adds up the summary as the total score, and to create one security view. We implement the quantifiable evaluation for different cloud users based on our G-Cloud platform. It shows the dynamic security scanning score for one or multiple clouds with visual graphs and guided users to modify configuration, improve operation and repair vulnerabilities, so as to improve the security of their cloud resources.",Cloud computing;Maintenance engineering;Engines;Computational modeling;Visualization;Application security;cloud computing;security;quantifiable evaluation;security visualization;security view
Orchestration Based Hybrid or Multi Clouds and Interoperability Standardization,"In the present scenario, hybrid or multi-cloud environments are most suitable for Enterprises and Communities (like Government of India) for cloud bursting, disaster recovery, migration, and there is growing need for unified monitoring and management, however, it's challenging to setup a viable hybrid/multi-cloud environment. Currently, there are multiple solutions available in the market with limited success due to hidden drawbacks, for instance, vendor-lock-in, portability issues in migration, security threats and expensive in the long run and also, unfortunately, interoperability standardization is still work in progress. In this paper, we explore few hybrid/multi cloud use cases and demonstrate how these can be accomplished with our Federated Cloud Services Framework (middleware), which is built upon OpenStack [5], an open source cloud and by leveraging existing OpenStack functionalities.",Cloud computing;Monitoring;Aggregates;Resource management;Standardization;Computer architecture;Interoperability;Cloud Computing;Cost Efficiency;Interoperability;OpenStack;Vendor lock in;Hybrid Clouds;Federated Clouds
Comparison of Several Cloud Computing Platforms,"Cloud computing is the development of parallel computing, distributed computing and grid computing. It has been one of the most hot research topics. Now many corporations have involved in the cloud computing related techniques and many cloud computing platforms have been put forward. This is a favorable situation to study and application of cloud computing related techniques. Though interesting, there are also some problems for so many flatforms. For to a novice or user with little knowledge about cloud computing, it is still very hard to make a reasonable choice. What differences are there for different cloud computing platforms and what characteristics and advantages each has? To answer these problems, the characteristics, architectures and applications of several popular cloud computing platforms are analyzed and discussed in detail. From the comparison of these platforms, users can better understand the different cloud platforms and more reasonablely choose what they want.",Cloud computing;Distributed computing;Grid computing;Concurrent computing;Computer science;High performance computing;Parallel processing;Platform virtualization;Computer industry;Network servers;cloud computing;virtualization;utility computing;IaaS;PaaS;SaaS
"A ""No Data Center"" Solution to Cloud Computing","Current Cloud Computing is primarily based on proprietary data centers, where hundreds of thousands of dedicated servers are setup to host the cloud services. In addition to the huge number of dedicated servers deployed in data centers, there are billions of underutilized Personal Computers (PCs), usually used only for a few hours per day, owned by individuals and organizations worldwide. The vast untapped compute and storage capacities of the underutilized PCs can be consolidated as alternative cloud fabrics to provision broad cloud services, primarily infrastructure as a service. This approach, thus referred to as ""no data center"" approach, complements the data center based cloud provision model. In this paper, we present our opportunistic Cloud Computing system, called cuCloud, that runs on scavenged resources of underutilized PCs within an organization/community. Our system demonstrates that the ""no data center"" solution indeed works. Besides proving our concept, model, and philosophy, our experimental results are highly encouraging.",Cloud computing;Servers;Computational modeling;Random access memory;Organizations;Data models;Cloud Computing;IaaS;Volunteer Computing;No Data Center Solution;Credit Union Model;Credit Union Cloud
C-Cloud: A Cost-Efficient Reliable Cloud of Surplus Computing Resources,"This paper presents C-CLOUD, a democratic cloud infrastructure for renting computing resources includingnon-cloud resources (i.e. computing equipment not part of any cloud infrastructure, such as, PCs, laptops, enterprise servers and clusters). C-CLOUD enables enormous amount of surplus computing resources, in the range of hundreds of millions, to be rented out to cloud users. Such a sharing of resources allows resource owners to earn from idle resources, and cloud users to have a cost-efficient alternative to large cloud providers. Compared to existing approaches to sharing surplus resources, C-CLOUD has two key challenges: ensuring Service Level Agreement (SLA) and reliability of reservations made over heterogeneous resources, and providing appropriate mechanism to encourage sharing of resources. In this context, C-CLOUD introduces novel incentive mechanism that determines resourcerents parametrically based on their reliability and capability.",Resource management;Cloud computing;Context;Availability;Computer architecture;Cloud Computing;Reliability;Cost-efficiency
The KOALA Cloud Manager: Cloud Service Management the Easy Way,"The key advantages of cloud computing are flexibility, scalability (elasticity) and usability and these features originate in the combination of virtualization technologies with web services. However, in contrast to the elasticity and flexibility of cloud services the traditional management methods and tools seem inappropriate because they usually require local software installation with continuous updates and patches. Furthermore, the solutions are often proprietary and only conform to the cloud service offerings of specific service providers, making it difficult to work with cloud services of different providers. A vendor agnostic generic cloud based software service would bear many advantages in this area. This paper describes the design of a better management solution - the KOALA cloud management service - for cloud services and its implementation.",Cloud computing;Software;Browsers;Google;Graphical user interfaces;Mobile handsets;Cloud Computing;Service Management
Cloud Computing Infrastructure for Biological Echo-Systems,"The Biological applications such as Gene and Protein analysis integrate and analyze biological data for the research in many bioinformatics and other bio related fields. Such applications are used under many large scale scientific applications and help in computing, integrating data, execute the analysis, automate the process by using information retrieved by different tasks and computational procedures to assist the scientists in scientific discovery and data distribution. Grid based and/or web based scientific workflow tools are used for bioinformatics related complex research to make scientists' and researchers' work easier. On average, scientists spend about 80% of their time assembling data to prepare for analysis. This is due largely in part to the fact that many of these resources required for data processing must be gathered from an external source. The best of these resources, however, are scattered across the globe. They are hosted at universities, institutes, and laboratories throughout the world. To bring all of these resources together by hiding system, network, and application level heterogeneity issues are challenging.",Clouds;Biology;Computer architecture;Cloud computing;Software;Ecosystems;Hardware;Cloud Computing;Biologocal Cloud Systems
Cloud Computing for Emerging Mobile Cloud Apps,"The tutorial will begin with an explanation of the concepts behind cloud computing systems, cloud software architecture, the need for mobile cloud computing as an aspect of the app industry to deal with new mobile app design, network apps, app designing tools, and the motivation for migrating apps to cloud computing systems. The tutorial will review facts, goals and common architectures of mobile cloud computing systems, as well as introduce general mobile cloud services for app developers and marketers. This tutorial will highlight some of the major challenges and costs, and the role of mobile cloud computing architecture in the field of app design, as well as how the app-design industry has an opportunity to migrate to cloud computing systems with low investment. The tutorial will review privacy and security issues. It will describe major mobile cloud vendor services to illustrate how mobile cloud vendors can improve mobile app businesses. We will consider major cloud vendors, such as Microsoft Windows Azure, Amazon AWS and Google Cloud Platform. Finally, the tutorial will survey some of the cuttingedge practices in the field, and present some opportunities for future development.",Mobile communication;Cloud computing;Tutorials;Computer architecture;Industries;Conferences;Big data;Mobile App Design; Mobile Cloud Computing; Cloud Architecture; Mobile Security; Mobile Privacy
Connecting Fog and Cloud Computing,"There is a perfect storm of the use of cloud computing, and the growth of Internet of Things (IoT). IoT is about processing data that comes from devices in some way that's meaningful, and cloud computing is about leveraging data from centralized computing and storage. Growth rates of both can easily become unmanageable. We have some problems to solve. In addition, alternatives are being consider to placing everything in the public cloud because the public cloud, in some cases, no longer makes sense.",Cloud computing;Internet of Things;Standards;Sensors;Computer architecture;Edge computing;Databases;cloud computing;cloud tidbits;Internet of Things (IoT);OpenFog;fog computing
Cloud Bursting Scheduler for Cost Efficiency,"Clouds have been increasingly adopted due to primarily their elasticity and pay-as-you-go (PAYG) pricing. While many organizations outsource the entire ICT solution to public clouds like Amazon Web Services Elastic Compute Cloud (EC2), others consider occasional workload offloading (cloud bursting) due to various reasons including governance and security. In this paper, we present Cloud Bursting Scheduler (CBS), a new cloud bursting algorithm. CBS explicitly takes into account cost factors of private in-house system (or private cloud) and public cloud. In particular, CBS attempts to optimize the cost to performance ratio by offloading jobs to public cloud explicitly taking into account time-varying electricity rates with private clouds and the timeinvariant rental rate of many public clouds. Based on simulation results obtained using real workload traces, CBS saves costs of running workloads by 55% and 12% compared with costs of cloud sourcing and private cloud, respectively. It also improves resource utilization (to 89%) by judiciously (de)activating inhouse resources and dynamically provisioning cloud resources.",Cloud computing;Resource management;Program processors;Processor scheduling;Servers;Random access memory;Dynamic scheduling;Cloud computing;cloud bursting;cost efficiency;scheduling;energy efficiency
Hybrid Cloud Energy Management for Edge Computing,"Recently, many service providers or telecom operators are offering hybrid cloud services with edge computing to consumers, such as gaming, streaming, and manufacturing. However, the energy management of data centers is emphasized for enterprises in global ESG policy. Therefore, we propose the energy management architecture for hybrid cloud with edge computing which includes physical and virtual resources. In addition, we also propose the energy saving policy to improve resource utilization and cooling efficiency.",Cloud computing;Data centers;Cooling;Computer architecture;Telecommunications;Manufacturing;Resource management;Energy Management;Hybrid Cloud;Edge Computing
Cloud Migration: A Case Study of Migrating an Enterprise IT System to IaaS,"This case study illustrates the potential benefits and risks associated with the migration of an IT system in the oil & gas industry from an in-house data center to Amazon EC2 from a broad variety of stakeholder perspectives across the enterprise, thus transcending the typical, yet narrow, financial and technical analysis offered by providers. Our results show that the system infrastructure in the case study would have cost 37% less over 5 years on EC2, and using cloud computing could have potentially eliminated 21% of the support calls for this system. These findings seem significant enough to call for a migration of the system to the cloud but our stakeholder impact analysis revealed that there are significant risks associated with this. Whilst the benefits of using the cloud are attractive, we argue that it is important that enterprise decision-makers consider the overall organizational implications of the changes brought about with cloud computing to avoid implementing local optimizations at the cost of organization-wide performance.",Clouds;Companies;Cloud computing;Servers;Databases;Interviews;Maintenance engineering;Enterprise cloud computing;cloud migration;cloud adoption;IaaS;organizational change
SciCloud: Scientific Computing on the Cloud,"SciCloud is a project studying the scope of establishing private clouds at universities. With these clouds, researchers can efficiently use the already existing resources in solving computationally intensive scientific, mathematical, and academic problems. The project established a Eucalyptus based private cloud and developed several customized images that can be used in solving problems from mobile web services, distributed computing and bio-informatics domains. The poster demonstrates the SciCloud and reveals two applications that are benefiting from the setup along with our research scope and results in scientific computing.",Scientific computing;Cloud computing;Mobile computing;Web services;Grid computing;Distributed computing;Virtual machining;Computer networks;Project management;Clustering algorithms;Cloud computing;scientific computing;GRID;mobile web services;Mobile Host;Eucalyptus
Multi-Objective Resource Mapping and Allocation for Volunteer Cloud Computing,"Although Virtual Machine placement has been extensively researched in traditional Cloud Computing environments, it remains an open challenging problem for Volunteer Cloud Computing, which exhibits several divergent characteristics, including intermittent availability of nodes and unreliable infrastructure. In this paper, we model the Virtual Machine placement problem in Volunteer Cloud Computing as a bounded 0-1 multi-dimensional knapsack problem and develop three heuristic based algorithms to meet the objectives and constraints specific to Volunteer Cloud Computing. Empirical evidences on a real Volunteer Cloud Computing test-bed show the competitive performance results of these algorithms.",Cloud computing;Reliability;Mathematical model;Virtual machining;Resource management;Scheduling algorithms;Computational modeling;Volunteer Cloud Computing;VM Scheduling;cuCloud;NP-hard Problem;Knapsack Problem
Towards a Stakeholder-Oriented Taxonomical Approach for Secure Cloud Computing,"The emerging paradigm of cloud computing (CC) arises security risks that adversely impact its different stakeholders. The widespread deployment and service models of CC in addition to the wide variety of stakeholders make it difficult to guarantee privacy and security. This work-in-progress paper proposes a stakeholder-oriented taxonomical approach that determines the security and privacy issues for various CC models from a stakeholder's perspective. It recommends a comprehensive list of security and privacy attributes that are related to these issues. The goal is to provide stakeholders with the security issues associated with their interaction with the cloud. This will assist every stakeholder of a CC model in identifying the security and privacy concerns that are pertinent to them, based on the service and deployment model they use. This will help promote security and privacy among the stakeholders and refute their fears from utilizing this emerging technology.",Security;Privacy;Taxonomy;Cloud computing;Computational modeling;Government;Communities;cloud computing;cloud computing security;taxonomy;cloud stakeholders;cloud privacy;service models
IEEE Standard Adoption of ISO/IEC 15026-1--Systems and Software Engineering--Systems and Software Assurance--Part 1: Concepts and Vocabulary,Assurance-related terms are defined and an organized set of concepts and relationships to establish a basis for shared understanding across user communities for assurance are established in this adoption of ISO/IEC 15026-1. It provides information to users of the other parts of this International Standard including the combined use of multiple parts. The essential concept introduced by ISO/IEC 15026 is the statement of claims in an assurance caseand the support of those claims through argumentation and evidence. These claims are in the context of assurance for properties of systems and software within life cycle processes for the system or software product.Assurance for a service being operated and managed on an ongoing basis is not covered in this International Standard.,IEEE standards;Software engineering;Systems engineering and theory;Quality assurance;adoption;assurance;assurance case;claim;IEEE 15026-1(TM);integrity level;life cycle processes;reliability;software assurance;software engineering;system assurance;systems engineering
IEEE Approved Draft Standard for Software and Systems Engineering--Software Testing--Part 1: Concepts and Definitions,"The scope of this standard is the testing of software-intensive systems.Software is present in many of the products we use today and these products are getting more and more complex; for example a calendar on your PC, an electronic game, a mobile telephone, a car, or an aircraft. Software-intensive systems may describe a pure software system or may consist of a number of subsystems, such as hardware, network, documentation, data, data repository systems, license agreements, descriptions of manual processes, and of course, software.This standard supports testing across the entire software development lifecycle, from static testing of requirements, specifications and other documentation, unit or component testing that is typically carried out by developers, integration testing of program modules, system testing of integrated systems, and user acceptance testing that is usually carried out by end-users. It also supports testing during maintenance cycles that typically occur after release.",IEEE standards;Software engineering;Software testing
ISO/IEC/IEEE Draft International Standard - Systems and software engineering--Systems and software assurance -- Part 4: Assurance in the life cycle,This document provides guidance and recommendations for assurance of a selected claim about the system-of-interest by achieving the claim and showing the achievement. The guidance and recommendations are given in a System Assurance process view on top of ISO/IEC/IEEE 15288 and a Software Assurance process view on top of ISO/IEC/IEEE 12207.,IEEE Standards;IEC Standards;ISO Standards;Software assurance;Software engineering;Systems engineering and theory
SO/IEC/IEEE Draft Standard for Software and Systems Engineering--Software Testing--Part 1: Concepts and Definitions,"The scope of this standard is the testing of software-intensive systems.Software is present in many of the products we use today and these products are getting more and more complex; for example a calendar on your PC, an electronic game, a mobile telephone, a car, or an aircraft. Software-intensive systems may describe a pure software system or may consist of a number of subsystems, such as hardware, network, documentation, data, data repository systems, license agreements, descriptions of manual processes, and of course, software.This standard supports testing across the entire software development lifecycle, from static testing of requirements, specifications and other documentation, unit or component testing that is typically carried out by developers, integration testing of program modules, system testing of integrated systems, and user acceptance testing that is usually carried out by end-users. It also supports testing during maintenance cycles that typically occur after release.",IEEE standards;Software engineering
ISO/IEC/IEEE International Standard - Systems and software engineering--Life cycle management--Part 3: Guidelines for the application of ISO/IEC/IEEE 12207 (software life cycle processes),"ISO/IEC/IEEE 24748-3 provides guidance on the application of the software life cycle processes standard, ISO/IEC/IEEE 12207:2017. This document establishes guidance to implement a common framework for software life cycle processes, with well-defined terminology, that can be referenced by the software industry. This document provides guidance on defining, controlling, and improving software life cycle processes within an organization or a project. It recommends methods and approaches suitable for a variety of life cycle models. The guidance emphasizes the importance of establishing a strategy, planning, and the involvement of stakeholders, with the ultimate goal of achieving customer satisfaction. Its purpose is to help ensure consistency in system concepts and life cycle concepts, models, stages, processes, process application, key points of view, adaptation and use in various domains. This document concentrates on specific guidance for the Technical processes and how they can be effectively used during the software life cycle. It is intended to be useful in a variety of software life cycle situations, including the use of agile methods.",IEEE Standards;ISO Standards;IEC Standards;Software engineering;Systems engineering and theory;Product life cycle management;life cycle;life cycle process;software;system;project;stage;software engineering
IEEE Draft Standard for Software and Systems Engineering--Software Testing--Part 4: Test Techniques,"This part of ISO/IEC 29119 defines software testing techniques that can be used by any organization, project or smaller testing activity. The test techniques in this International Standard are used to derive the test cases executed as part of the dynamic testing process specified in part two of this standard. This International Standard is applicable to the testing in all software development lifecycle models. This document is intended for, but not limited to, testers, test managers, developers, project managers, particularly those responsible for governing, managing and implementing software testing.",IEEE standards;Software engineering;Software testing
ISO/IEC/IEEE Draft International Standard - Systems and software engineering--Systems and software assurance -- Part 4: Assurance in the life cycle,This document provides guidance and recommendations for assurance of a selected claim about the system-of-interest by achieving the claim and showing the achievement. The guidance and recommendations are given in a System Assurance process view on top of ISO/IEC/IEEE 15288 and a Software Assurance process view on top of ISO/IEC/IEEE 12207.,IEEE Standards;Software engineering;Systems engineering and theory;Product life cycle management;IEC Standards;ISO Standards
ISO/IEC/IEEE Approved Draft International Standard - Systems and Software Engineering-Life Cycle Management-Part 3: Guidelines for the Application of ISO/IEC/IEEE 12207 (Software Life Cycle Processes),"ISO/IEC/IEEE 24748-3 provides guidance on the application of the software life cycle processes standard, ISO/IEC/IEEE 12207:2017. This document establishes guidance to implement a common framework for software life cycle processes, with well-defined terminology, that can be referenced by the software industry. This document provides guidance on defining, controlling, and improving software life cycle processes within an organization or a project. It recommends methods and approaches suitable for a variety of life cycle models. The guidance emphasizes the importance of establishing a strategy, planning, and the involvement of stakeholders, with the ultimate goal of achieving customer satisfaction. Its purpose is to help ensure consistency in system concepts and life cycle concepts, models, stages, processes, process application, key points of view, adaptation and use in various domains. This document concentrates on specific guidance for the Technical processes and how they can be effectively used during the software life cycle. It is intended to be useful in a variety of software life cycle situations, including the use of agile methods.",IEEE Standards;ISO Standards;IEC Standards;Software engineering;Systems engineering and theory;Product life cycle management;life cycle;life cycle process;software;system;project;stage;software engineering
Automatic development tools in software engineering courses,"Discusses the role of automatic software development tools in graduate software engineering courses. The basic requirements for such tools, from the industry perspective, are presented, followed by the selection of tools meeting a comprehensive set of criteria in four process-related dimensions: internal, vertical, horizontal and diagonal. Typical software development projects for student teams used in the Software Engineering Program at the University of Central Florida are presented, involving the following four software tools: SES/workbench, ObjecTime Developer, iLogix Rhapsody and Gensym G2.",Software engineering;Software tools;Computer industry;Software performance;Software reusability;Computer languages;Software testing;Computer science;Programming profession;Communication industry
Draft International Standard Systems and software engineering -- Systems and software assurance -- Part 1: Concepts and vocabulary,This part of ISO/IEC defines assurance-related terms and establishes an organized set of concepts and relationships to establish a basis for shared understanding across user communities for assurance. It provides information to users of the other parts of this International Standard including the combined use of multiple parts. The essential concept introduced by ISO/IEC 15026 is the statement of claims in an assurance case and the support of those claims through argumentation and evidence. These claims are in the context of assurance for properties of systems and software within life cycle processes for the system or software product.Assurance for a service being operated and managed on an ongoing basis is not covered in ISO/IEC 15026.,IEEE standards;Software engineering;Systems engineering and theory;Quality assurance;Software quality
IEEE Draft International Standard - Systems and Software Engineering--Life Cycle Management--Part 5: Software Development Planning,"ISO/IEC/IEEE 24748 provides unified and consolidated guidance on the life cycle management of systems and software. It draws on key aspects of the former IEEE J-Std-016 Standard for information technology software Software life cycle processes Software development Acquirer-supplier agreement. The IEEE Standards Association has identified the need for a non-military standard to guide managers of software systems in software development planning.Taken together, the parts of ISO/IEC/IEEE 24748are intended to facilitate the joint usage of the process content of ISO/IEC/IEEE 12207 and ISO/IEC/IEEE 15288, Systems and software engineering System life cycle processes, which in turn may be used together with related standards such as for service management,and various lower-level process standards.",IEEE Standards;Software engineering;Product life cylce management;Software development;Systems engineering and theory
